epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,241.978,0.85791,4.27522,0.54883,0.69041,1.26783,0.93409,0.86842,0.95097,0.74108,0.84653,0.73684,0.72437,0.30907,0.91481,3.85117,0.48512,0.70351,1.20395,0.0010496,0.0010496,0.0010496
50,248.619,1.00435,4.40991,0.53857,0.82483,1.39666,0.95807,0.86842,0.94996,0.68818,0.87486,0.73684,0.72134,0.3433,1.04957,3.83388,0.47843,0.72051,1.3198,0.0010298,0.0010298,0.0010298
51,252.53,0.89736,4.61046,0.55386,0.77229,1.27745,0.96522,0.84211,0.94617,0.68173,0.84299,0.73684,0.70404,0.33077,1.01416,3.92623,0.48395,0.70633,1.32234,0.00101,0.00101,0.00101
52,256.518,0.87075,4.469,0.55147,0.71901,1.27367,0.94139,0.84539,0.94198,0.70078,0.81204,0.68421,0.62413,0.24322,0.92846,4.00052,0.50612,0.69264,1.29266,0.0009902,0.0009902,0.0009902
53,261.5,0.87884,4.24604,0.52714,0.75042,1.25129,0.92184,0.93135,0.96769,0.71984,0.80167,0.71053,0.63993,0.33524,0.93859,3.79475,0.49671,0.59869,1.30786,0.0009704,0.0009704,0.0009704
54,265.814,0.88855,4.40737,0.53922,0.75226,1.27904,0.92656,0.99606,0.98308,0.74964,0.83518,0.73684,0.73221,0.36472,0.90978,3.69871,0.48195,0.59356,1.29776,0.0009506,0.0009506,0.0009506
55,270.101,0.8014,4.43522,0.53883,0.66472,1.23117,0.96408,0.97368,0.98715,0.71585,0.81953,0.76316,0.71665,0.3769,0.94808,3.58084,0.48475,0.59165,1.34273,0.0009308,0.0009308,0.0009308
56,274.01,0.87289,4.23879,0.53653,0.69928,1.27149,0.94371,0.97368,0.98417,0.71946,0.82247,0.76316,0.75991,0.38002,0.91481,3.50514,0.48187,0.60867,1.28122,0.000911,0.000911,0.000911
57,282.214,0.82958,3.97435,0.52294,0.74639,1.2575,0.89999,0.97368,0.97818,0.75801,0.83752,0.71053,0.71913,0.35321,0.8401,3.58454,0.46751,0.58501,1.21276,0.0008912,0.0008912,0.0008912
58,286.307,0.84504,4.29126,0.52617,0.72807,1.25325,0.94567,0.91625,0.97432,0.73814,0.87416,0.71053,0.69576,0.32551,0.95049,3.60918,0.46305,0.63407,1.2443,0.0008714,0.0008714,0.0008714
59,290.255,0.8663,4.22895,0.52746,0.74453,1.26778,0.96286,0.86842,0.96721,0.7334,0.87533,0.78947,0.78226,0.32432,0.91557,3.64412,0.47586,0.66041,1.22735,0.0008516,0.0008516,0.0008516
60,294.252,0.81327,4.29274,0.53348,0.66435,1.2287,0.97028,0.85927,0.94698,0.70487,0.84253,0.78947,0.77643,0.37116,0.92948,3.55129,0.47907,0.64805,1.27544,0.0008318,0.0008318,0.0008318
61,298.166,0.81087,4.05329,0.53718,0.67115,1.24067,0.97142,0.89462,0.96712,0.70758,0.82561,0.76316,0.74685,0.36672,0.93054,3.41473,0.48171,0.665,1.28569,0.000812,0.000812,0.000812
62,302.144,0.84365,3.73355,0.52374,0.62889,1.26788,0.92266,0.94192,0.96299,0.72446,0.80323,0.76316,0.70129,0.37297,0.88019,3.35111,0.48089,0.64927,1.24516,0.0007922,0.0007922,0.0007922
63,306.103,0.79013,4.00649,0.53122,0.62823,1.22971,0.97027,0.85891,0.96039,0.72522,0.87345,0.76316,0.74538,0.37845,0.87456,3.27095,0.47501,0.61686,1.2585,0.0007724,0.0007724,0.0007724
64,310.406,0.8461,4.20006,0.52596,0.68555,1.25248,0.96226,0.86842,0.95002,0.74082,0.85117,0.76316,0.74628,0.38308,0.82824,3.35846,0.48674,0.62241,1.22286,0.0007526,0.0007526,0.0007526
65,314.693,0.82174,4.05631,0.52891,0.6705,1.22819,0.93814,0.92105,0.95122,0.73922,0.80693,0.78947,0.72536,0.39661,0.83764,3.31273,0.48224,0.60362,1.21476,0.0007328,0.0007328,0.0007328
66,318.977,0.81021,4.002,0.51671,0.6853,1.24104,0.94339,0.92105,0.95463,0.71936,0.86704,0.73684,0.74841,0.44384,0.8888,3.19001,0.47079,0.61838,1.25659,0.000713,0.000713,0.000713
67,323.216,0.73141,3.79325,0.52868,0.61116,1.16668,0.96974,0.92105,0.97405,0.73388,0.84343,0.78947,0.77176,0.44702,0.91,3.12905,0.4765,0.5917,1.28612,0.0006932,0.0006932,0.0006932
