epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,1961.48,0.59363,5.21719,0.31104,0.47866,1.11249,0.99356,1,0.995,0.93911,0.75217,0.75714,0.66253,0.13664,0.38617,3.81377,0.16026,0.31147,0.94001,0.0010298,0.0010298,0.0010298
51,2000.27,0.61724,5.14487,0.31436,0.49507,1.14623,0.9859,0.99906,0.99491,0.93625,0.76036,0.77143,0.64625,0.13005,0.39761,3.87201,0.14772,0.32396,0.94639,0.00101,0.00101,0.00101
52,2038.77,0.57013,5.1732,0.32303,0.46706,1.09123,0.99433,0.99524,0.99495,0.93055,0.74137,0.72857,0.6581,0.12533,0.39638,3.89151,0.15268,0.30314,0.94095,0.0009902,0.0009902,0.0009902
53,2077.9,0.56333,5.12101,0.31413,0.4695,1.10121,0.98105,0.98617,0.99452,0.93959,0.77568,0.7904,0.68108,0.13127,0.36636,3.7875,0.1686,0.30601,0.92356,0.0009704,0.0009704,0.0009704
54,2116.84,0.5806,5.05531,0.31435,0.49923,1.1322,0.98121,0.99448,0.99476,0.93207,0.76043,0.77089,0.69881,0.14235,0.39147,3.80488,0.16472,0.30422,0.93071,0.0009506,0.0009506,0.0009506
55,2155.58,0.55775,5.07362,0.30985,0.4511,1.09718,0.98702,0.99524,0.9949,0.92686,0.74205,0.72381,0.61141,0.11977,0.38218,3.80715,0.17077,0.30786,0.93682,0.0009308,0.0009308,0.0009308
56,2194.41,0.58181,5.02681,0.30115,0.48353,1.11033,0.99521,0.98872,0.99452,0.94211,0.81789,0.81268,0.75626,0.15056,0.37903,3.78644,0.16615,0.30229,0.92253,0.000911,0.000911,0.000911
57,2235.25,0.56178,4.97673,0.30788,0.45065,1.09854,0.99715,0.99048,0.995,0.94646,0.82643,0.81623,0.77882,0.16225,0.35928,3.71667,0.14872,0.28862,0.90815,0.0008912,0.0008912,0.0008912
58,2276.17,0.54888,4.89144,0.29739,0.45246,1.09785,0.98424,1,0.9949,0.94316,0.80124,0.81429,0.77546,0.16554,0.36729,3.75016,0.14299,0.2836,0.92292,0.0008714,0.0008714,0.0008714
59,2315.65,0.53983,5.00486,0.29865,0.43957,1.08489,0.98588,0.99766,0.9949,0.94097,0.77422,0.7838,0.75033,0.14533,0.37624,3.84248,0.14435,0.29053,0.93197,0.0008516,0.0008516,0.0008516
60,2354.25,0.5361,4.88073,0.28847,0.44055,1.08038,0.98853,0.99524,0.99495,0.95624,0.79515,0.81429,0.76155,0.16979,0.34682,3.72804,0.14349,0.27363,0.90071,0.0008318,0.0008318,0.0008318
61,2397.1,0.54315,4.81181,0.29135,0.43606,1.09256,0.98802,0.99524,0.99491,0.94319,0.76097,0.7619,0.6761,0.15463,0.36807,3.73519,0.13311,0.29043,0.91339,0.000812,0.000812,0.000812
62,2436.54,0.53224,4.87285,0.29304,0.43998,1.08148,0.99056,0.99964,0.995,0.95416,0.78207,0.77619,0.73907,0.16378,0.35736,3.75067,0.13729,0.27457,0.90396,0.0007922,0.0007922,0.0007922
63,2475.43,0.53031,4.81674,0.28601,0.43,1.07415,0.99698,0.98571,0.99495,0.94791,0.80879,0.8,0.76906,0.16331,0.35434,3.75722,0.13488,0.27923,0.90198,0.0007724,0.0007724,0.0007724
64,2514.31,0.5046,4.82869,0.2813,0.41116,1.0556,0.99523,0.99433,0.99495,0.95421,0.82375,0.82345,0.80396,0.18807,0.35452,3.68256,0.14897,0.27065,0.90405,0.0007526,0.0007526,0.0007526
65,2554.88,0.51748,4.87245,0.29401,0.42136,1.06717,0.99521,0.98976,0.9949,0.95906,0.81091,0.80476,0.74816,0.16615,0.33931,3.74011,0.14024,0.27324,0.89619,0.0007328,0.0007328,0.0007328
66,2593.91,0.51477,4.77316,0.28798,0.41493,1.06847,0.98654,0.99524,0.99491,0.95333,0.78649,0.8,0.76925,0.18752,0.36354,3.68763,0.1481,0.27368,0.913,0.000713,0.000713,0.000713
67,2633.13,0.52116,4.76948,0.27668,0.41475,1.06253,0.99057,0.99999,0.99491,0.95228,0.75749,0.7619,0.73062,0.18242,0.35125,3.74402,0.12947,0.26911,0.90679,0.0006932,0.0006932,0.0006932
68,2672.19,0.51379,4.76647,0.28221,0.41428,1.06877,0.99388,0.99524,0.99495,0.94289,0.79836,0.8,0.76617,0.1739,0.35327,3.68602,0.15575,0.26654,0.91059,0.0006734,0.0006734,0.0006734
69,2711.37,0.51102,4.77553,0.28128,0.4149,1.06183,0.98985,0.99524,0.99491,0.94077,0.80471,0.80952,0.78249,0.17561,0.36288,3.69308,0.12824,0.26558,0.90723,0.0006536,0.0006536,0.0006536
70,2750.57,0.50636,4.70449,0.2819,0.41249,1.06747,0.98911,0.99524,0.99491,0.96482,0.79012,0.79524,0.75803,0.17938,0.31963,3.69589,0.14106,0.25755,0.8798,0.0006338,0.0006338,0.0006338
71,2792.28,0.47305,4.55245,0.27481,0.38702,1.04133,0.98127,0.99799,0.99486,0.95812,0.8026,0.81429,0.77659,0.17119,0.33227,3.75705,0.13372,0.2612,0.8838,0.000614,0.000614,0.000614
72,2831.16,0.4939,4.65,0.27339,0.39954,1.06696,0.98311,1,0.99486,0.95161,0.7733,0.7797,0.69354,0.14842,0.35176,3.74573,0.13397,0.27245,0.91154,0.0005942,0.0005942,0.0005942
73,2870.07,0.4913,4.58621,0.26641,0.38916,1.05844,0.98583,0.99392,0.99486,0.96057,0.81581,0.82255,0.80107,0.18573,0.3149,3.65439,0.12915,0.2436,0.87559,0.0005744,0.0005744,0.0005744
74,2910.27,0.48162,4.52275,0.27572,0.38078,1.04611,0.98591,0.99979,0.99486,0.96178,0.84436,0.85714,0.82752,0.19345,0.31943,3.63935,0.11707,0.24653,0.88035,0.0005546,0.0005546,0.0005546
75,2952.2,0.46894,4.42694,0.27212,0.39852,1.0396,0.99056,0.99947,0.99491,0.96764,0.83957,0.84732,0.82628,0.20153,0.31039,3.60717,0.13178,0.24232,0.87041,0.0005348,0.0005348,0.0005348
76,3002.17,0.4502,4.42099,0.25927,0.36453,1.03499,0.99526,0.99942,0.99495,0.96876,0.84212,0.84286,0.79797,0.19422,0.3184,3.60579,0.12438,0.24091,0.87549,0.000515,0.000515,0.000515
77,3043.43,0.45786,4.41081,0.2628,0.36973,1.02984,0.99525,0.99872,0.99495,0.96713,0.85235,0.85218,0.82023,0.20315,0.30702,3.58931,0.14792,0.24084,0.87094,0.0004952,0.0004952,0.0004952
78,3084.55,0.46562,4.47177,0.26987,0.37361,1.04797,0.99449,0.99524,0.995,0.96623,0.85067,0.84094,0.83013,0.19092,0.30735,3.59662,0.1299,0.24751,0.87001,0.0004754,0.0004754,0.0004754
79,3123.75,0.4512,4.37139,0.26003,0.36904,1.03739,0.99523,0.99524,0.995,0.96833,0.82624,0.81905,0.78178,0.19573,0.2989,3.58724,0.12881,0.24128,0.86694,0.0004556,0.0004556,0.0004556
80,3162.9,0.45699,4.53469,0.25661,0.3719,1.03539,0.99526,0.99948,0.99495,0.97044,0.82606,0.8381,0.78579,0.19566,0.30649,3.59096,0.13492,0.23569,0.87271,0.0004358,0.0004358,0.0004358
81,3202.13,0.46905,4.47543,0.27344,0.38681,1.04115,0.99523,0.99389,0.99495,0.96916,0.85224,0.85145,0.80909,0.20416,0.30487,3.56951,0.11198,0.23744,0.86744,0.000416,0.000416,0.000416
82,3242.87,0.46309,4.41521,0.25563,0.38736,1.04585,0.99524,0.99524,0.99495,0.96705,0.83774,0.8381,0.80018,0.20384,0.31912,3.60086,0.12889,0.24049,0.87501,0.0003962,0.0003962,0.0003962
83,3281.64,0.46517,4.46244,0.26307,0.38285,1.04761,0.99018,1,0.99495,0.96706,0.86172,0.86059,0.81061,0.19946,0.29256,3.55209,0.13006,0.23243,0.86014,0.0003764,0.0003764,0.0003764
84,3320.74,0.45632,4.37975,0.25643,0.36902,1.05058,0.99501,0.99524,0.99495,0.97276,0.852,0.85238,0.81867,0.21266,0.29352,3.56435,0.11789,0.23088,0.85713,0.0003566,0.0003566,0.0003566
85,3361.19,0.44411,4.44753,0.25036,0.35933,1.01856,0.9947,0.99048,0.99495,0.97229,0.85532,0.8381,0.8187,0.2068,0.28564,3.54897,0.11434,0.23209,0.85104,0.0003368,0.0003368,0.0003368
86,3400.32,0.4415,4.30861,0.25529,0.35281,1.03137,0.98951,1,0.99495,0.97579,0.8416,0.83495,0.83545,0.22834,0.28257,3.56558,0.10989,0.22189,0.85092,0.000317,0.000317,0.000317
87,3441.22,0.43645,4.32809,0.25752,0.35529,1.02318,0.99521,0.99524,0.99495,0.97682,0.83774,0.8381,0.80975,0.21904,0.28066,3.56812,0.11572,0.22195,0.85355,0.0002972,0.0002972,0.0002972
88,3480.35,0.44808,4.37084,0.25809,0.35893,1.02426,0.99519,0.99524,0.99495,0.97617,0.86159,0.8619,0.84672,0.22784,0.27946,3.55154,0.1193,0.22121,0.84821,0.0002774,0.0002774,0.0002774
89,3519.31,0.44004,4.21115,0.2561,0.35487,1.03287,0.99134,0.99524,0.99495,0.97605,0.86661,0.86626,0.84058,0.21539,0.27989,3.53545,0.11463,0.22629,0.85215,0.0002576,0.0002576,0.0002576
90,3558.26,0.42659,4.23442,0.25187,0.35106,1.02701,0.99412,0.99524,0.99495,0.97329,0.85603,0.85714,0.83939,0.23005,0.27642,3.53058,0.12166,0.21952,0.84903,0.0002378,0.0002378,0.0002378
91,3597.8,0.30606,3.55745,0.16999,0.24902,0.94073,0.99524,0.9952,0.99495,0.97919,0.81873,0.81905,0.7892,0.20359,0.26647,3.55622,0.08867,0.22324,0.84236,0.000218,0.000218,0.000218
92,3636.72,0.30147,3.56242,0.15781,0.25113,0.92698,0.99053,1,0.99495,0.9732,0.85218,0.85104,0.81943,0.21427,0.26347,3.52016,0.08995,0.21699,0.84045,0.0001982,0.0001982,0.0001982
93,3675.14,0.28244,3.46304,0.15825,0.22559,0.93245,0.98955,1,0.995,0.97274,0.87152,0.88095,0.86193,0.2191,0.25605,3.47919,0.08323,0.20835,0.82917,0.0001784,0.0001784,0.0001784
94,3714.24,0.27745,3.53053,0.14723,0.22304,0.91437,0.99522,0.99147,0.995,0.97549,0.85358,0.8619,0.8352,0.21674,0.25433,3.46981,0.07942,0.20899,0.8238,0.0001586,0.0001586,0.0001586
95,3752.92,0.27477,3.50051,0.15762,0.22236,0.93192,0.99526,0.9998,0.995,0.98036,0.87671,0.88095,0.85143,0.22617,0.24501,3.45172,0.0778,0.2026,0.81906,0.0001388,0.0001388,0.0001388
96,3792.94,0.25701,3.40494,0.14146,0.2133,0.88842,0.99495,1,0.99495,0.97815,0.88108,0.88571,0.8609,0.23016,0.2478,3.43937,0.08119,0.19873,0.81796,0.000119,0.000119,0.000119
97,3834.36,0.2552,3.45917,0.15015,0.21005,0.9003,0.99499,1,0.99495,0.9765,0.88588,0.89048,0.87954,0.24084,0.24923,3.4309,0.07517,0.19566,0.81868,9.92e-05,9.92e-05,9.92e-05
98,3879.77,0.26031,3.44155,0.14094,0.21452,0.90148,0.99526,0.99938,0.99495,0.98273,0.88621,0.89009,0.88415,0.24897,0.23967,3.4348,0.07652,0.18851,0.81433,7.94e-05,7.94e-05,7.94e-05
99,3924.54,0.25128,3.39851,0.13732,0.20222,0.91306,0.98969,1,0.99495,0.98224,0.89541,0.90476,0.88946,0.24471,0.23869,3.43778,0.07474,0.18828,0.81203,5.96e-05,5.96e-05,5.96e-05
100,3964.91,0.25749,3.40529,0.13529,0.21123,0.90017,0.99525,0.99788,0.99495,0.98253,0.88609,0.88905,0.87424,0.24054,0.23668,3.4271,0.07353,0.18614,0.81078,3.98e-05,3.98e-05,3.98e-05
